user_id,group,impressions,device,campaign_date,clicks,converted,time_spent
1,control,4,desktop,2024-01-01 00:00:00,0,0,136
2,treatment,3,desktop,2024-01-01 00:01:00,0,0,123
3,treatment,3,mobile,2024-01-01 00:02:00,1,0,149
4,treatment,2,mobile,2024-01-01 00:03:00,0,0,98
5,control,0,desktop,2024-01-01 00:04:00,0,0,95
6,control,4,mobile,2024-01-01 00:05:00,0,0,92
7,control,5,desktop,2024-01-01 00:06:00,0,0,9
8,treatment,2,mobile,2024-01-01 00:07:00,0,0,113
9,treatment,3,mobile,2024-01-01 00:08:00,0,0,142
10,treatment,7,desktop,2024-01-01 00:09:00,0,0,120
11,control,5,mobile,2024-01-01 00:10:00,0,0,119
12,treatment,3,desktop,2024-01-01 00:11:00,0,0,69
13,treatment,1,mobile,2024-01-01 00:12:00,0,0,146
14,control,3,mobile,2024-01-01 00:13:00,0,0,73
15,control,4,mobile,2024-01-01 00:14:00,0,0,77
16,control,1,mobile,2024-01-01 00:15:00,0,0,94
17,control,3,mobile,2024-01-01 00:16:00,0,0,53
18,treatment,3,desktop,2024-01-01 00:17:00,0,0,68
19,control,4,desktop,2024-01-01 00:18:00,0,0,55
20,control,1,desktop,2024-01-01 00:19:00,0,0,38
21,treatment,2,mobile,2024-01-01 00:20:00,0,0,132
22,control,3,desktop,2024-01-01 00:21:00,0,0,76
23,control,2,desktop,2024-01-01 00:22:00,0,0,92
24,control,1,mobile,2024-01-01 00:23:00,0,0,109
25,control,1,mobile,2024-01-01 00:24:00,0,0,68
26,treatment,3,mobile,2024-01-01 00:25:00,0,0,176
27,control,0,mobile,2024-01-01 00:26:00,0,0,109
28,treatment,3,desktop,2024-01-01 00:27:00,0,0,55
29,treatment,1,mobile,2024-01-01 00:28:00,0,0,159
30,control,1,desktop,2024-01-01 00:29:00,0,0,76
31,treatment,7,mobile,2024-01-01 00:30:00,0,0,95
32,control,3,mobile,2024-01-01 00:31:00,0,0,96
33,control,2,mobile,2024-01-01 00:32:00,0,0,85
34,treatment,4,desktop,2024-01-01 00:33:00,0,0,133
35,treatment,4,mobile,2024-01-01 00:34:00,0,0,87
36,treatment,0,desktop,2024-01-01 00:35:00,0,0,109
37,control,3,mobile,2024-01-01 00:36:00,0,0,39
38,control,3,desktop,2024-01-01 00:37:00,1,1,126
39,treatment,7,desktop,2024-01-01 00:38:00,0,0,138
40,control,3,desktop,2024-01-01 00:39:00,0,0,48
41,control,2,mobile,2024-01-01 00:40:00,0,0,86
42,control,4,mobile,2024-01-01 00:41:00,0,0,89
43,control,2,mobile,2024-01-01 00:42:00,0,0,23
44,treatment,2,desktop,2024-01-01 00:43:00,0,0,164
45,control,3,mobile,2024-01-01 00:44:00,0,0,54
